pos,word,count
NN,recruit,1
NN,project,1
NN,matter,2
NN,future,1
NN,divisiveness,1
NN,india,2
NN,register,2
NN,san,1
NN,strengthen,6
NN,measure,2
NN,spectrum,1
NN,need,12
NN,recover,1
NN,seek,1
NN,prosperity,1
NN,built,10
NN,polarization,4
NN,build,16
NN,online,7
NN,anytime,1
NN,worldwide,6
NN,play,1
NN,sure,2
NN,multiple,1
NN,opposite,1
NN,iceland,1
NN,enter,1
NN,reach,2
NN,virus,1
NN,plan,3
NN,honor,1
NN,position,1
NN,protest,2
NN,short-form,1
NN,mitigate,2
NN,surprising,1
NN,mobile,1
NN,industry,2
NN,disease,3
NN,part,9
NN,tech,1
NN,principle,1
NN,occasion,2
NN,voting,5
NN,fact,1
NN,show,5
NN,text,1
NN,bring,4
NN,bright,1
NN,california,1
NN,decade,1
NN,feedback,1
NN,impact,6
NN,access,1
NN,stormy,1
NN,favor,1
NN,headline,1
NN,guidance,1
NN,crime,1
NN,satire,1
NN,amplify,1
NN,achieve,1
NN,dispute,1
NN,bother,1
NN,broader,1
NN,account,1
NN,mission,1
NN,net,1
NN,prime,1
NN,organ,1
NN,approach,4
NN,privacy,1
NN,fault,1
NN,view,1
NN,set,3
NN,disaster,2
NN,intelligence,2
NN,touch,1
NN,reinforce,2
NN,ability,2
NN,closer,1
NN,review,4
NN,importance,1
NN,progress,5
NN,reading,6
NN,thrive,1
NN,anew,2
NN,europe,1
NN,infrastructure,24
NN,joy,1
NN,job,1
NN,demonstrate,1
NN,news,12
NN,climate,2
NN,survival,1
NN,reverse,1
NN,propaganda,1
NN,connection,3
NN,concert,1
NN,point,2
NN,simple,1
NN,vote,5
NN,address,1
NN,community,80
NN,article,1
NN,speak,1
NN,decline,2
NN,raise,1
NN,basis,1
NN,encryption,2
NN,create,5
NN,increase,2
NN,combine,1
NN,box,1
NN,life,1
NN,deeper,1
NN,face,1
NN,protect,1
NN,fund,1
NN,engage,2
NN,minister,1
NN,hateful,1
NN,child,3
NN,careful,1
NN,present,1
NN,case,1
NN,east,1
NN,look,4
NN,permit,1
NN,act,1
NN,pace,1
NN,referendum,1
NN,none,1
NN,country,3
NN,newspaper,1
NN,situation,1
NN,voice,5
NN,region,2
NN,encouragement,1
NN,hoax,1
NN,middle,1
NN,default,1
NN,kenya,1
NN,technology,4
NN,worry,2
NN,terrorist,2
NN,member,1
NN,discourse,5
NN,speech,4
NN,underestimate,1
NN,party,1
NN,terrorism,4
NN,conflict,1
NN,development,3
NN,evolve,2
NN,assist,1
NN,bullying,1
NN,action,1
NN,moment,1
NN,purpose,3
NN,student,1
NN,opinion,2
NN,opportunity,8
NN,expand,1
NN,vantage,1
NN,indonesia,1
NN,game,1
NN,person,4
NN,solve,2
NN,bullosa,1
NN,organization,2
NN,model,1
NN,left,2
NN,photo,3
NN,inadequate,1
NN,violent,2
NN,world,36
NN,reality,1
NN,painful,1
NN,candidate,1
NN,majority,3
NN,dogmas,1
NN,insufficient,1
NN,education,1
NN,day,3
NN,passive,1
NN,spread,2
NN,location,1
NN,whatsapp,3
NN,humanity,4
NN,emergency,1
NN,government,1
NN,referenda,1
NN,judge,1
NN,unique,1
NN,loss,1
NN,christina,1
NN,success,1
NN,collective,7
NN,orlando,1
NN,security,1
NN,disorder,1
NN,right,5
NN,fake,1
NN,begin,1
NN,harassment,1
NN,supportive,3
NN,march,1
NN,scale,4
NN,self-governance,1
NN,decision,1
NN,continue,2
NN,participation,4
NN,refer,1
NN,sensationalism,6
NN,business,2
NN,intimate,1
NN,update,2
NN,step,3
NN,become,4
NN,post,2
NN,stay,1
NN,rare,1
NN,consumption,1
NN,freedom,1
NN,favorite,4
NN,nightclub,1
NN,range,5
NN,stand,1
NN,commit,2
NN,rebuild,4
NN,pollution,1
NN,amber,1
NN,inclusion,1
NN,communication,2
NN,fear-mongering,1
NN,commitment,1
NN,square,1
NN,determine,1
NN,span,1
NN,fabric,4
NN,bukhari,1
NN,support,7
NN,enforce,1
NN,question,1
NN,accountability,2
NN,overestimate,1
NN,start,2
NN,lot,2
NN,messenger,1
NN,function,1
NN,medium,3
NN,form,2
NN,offer,1
NN,pastor,1
NN,spam,2
NN,hear,1
NN,line,2
NN,operating,1
NN,contain,1
NN,alternate,1
NN,election,2
NN,ai,5
NN,contribute,3
NN,influence,1
NN,one-third,1
NN,diverse,2
NN,exist,1
NN,goodness,1
NN,violence,4
NN,anything,1
NN,diversity,5
NN,check,4
NN,diego,1
NN,ballot,1
NN,peace,1
NN,event,2
NN,power,5
NN,role,1
NN,accomplish,1
NN,conclusion,1
NN,picture,1
NN,nuance,1
NN,shelter,2
NN,monis,2
NN,journey,2
NN,lincoln,1
NN,structure,1
NN,source,1
NN,building,19
NN,invest,1
NN,flag,1
NN,permissive,1
NN,time,8
NN,understand,3
NN,validation,1
NNS,reviewers,1
NNS,children,1
NNS,issues,11
NNS,relationships,3
NNS,crises,4
NNS,segments,1
NNS,opportunities,2
NNS,helps,5
NNS,women,1
NNS,resources,2
NNS,activities,1
NNS,connects,1
NNS,emergencies,1
NNS,sons,1
NNS,updates,1
NNS,bubbles,1
NNS,governments,4
NNS,positions,1
NNS,posts,1
NNS,shows,3
NNS,ups,1
NNS,leaders,4
NNS,ten,1
NNS,spouses,1
NNS,checkers,1
NNS,stands,1
NNS,jokes,1
NNS,networks,2
NNS,causes,1
NNS,churches,1
NNS,layers,1
NNS,focuses,1
NNS,months,1
NNS,men,1
NNS,answers,1
NNS,groups,23
NNS,others,4
NNS,directions,1
NNS,kids,1
NNS,remarks,1
NNS,suggests,4
NNS,extremes,2
NNS,products,1
NNS,options,2
NNS,involves,1
NNS,juries,1
NNS,classrooms,1
NNS,suicides,1
NNS,tools,10
NNS,sports,4
NNS,means,1
NNS,suggestions,1
NNS,wars,1
NNS,cases,3
NNS,organizations,4
NNS,debates,1
NNS,thanks,1
NNS,reviews,1
NNS,values,6
NNS,pushes,1
NNS,states,2
NNS,needs,5
NNS,moves,1
NNS,regions,1
NNS,hoaxes,2
NNS,dorms,1
NNS,wins,1
NNS,formats,1
NNS,dinners,1
NNS,advocates,1
NNS,media,10
NNS,years,7
NNS,boosts,1
NNS,beliefs,1
NNS,expectations,1
NNS,systems,3
NNS,get-togethers,1
NNS,decades,1
NNS,donors,1
NNS,views,3
NNS,conversations,1
NNS,processes,3
NNS,effects,4
NNS,communities,25
NNS,settings,2
NNS,backgrounds,1
NNS,discourages,1
NNS,companies,1
NNS,police,1
NNS,challenges,3
NNS,increases,1
NNS,disasters,2
NNS,occurs,1
NNS,registries,1
NNS,campaigns,1
NNS,members,3
NNS,starts,1
NNS,messages,4
NNS,times,4
NNS,generations,1
NNS,1970s,1
NNS,fits,1
NNS,standards,11
NNS,gatherings,1
NNS,millions,5
NNS,surveys,1
NNS,errors,3
NNS,oversimplifies,1
NNS,types,1
NNS,structures,1
NNS,interests,2
NNS,rewards,1
NNS,villages,1
NNS,demonstrations,1
NNS,norms,6
NNS,jobs,2
NNS,roles,1
NNS,nations,4
NNS,patients,1
NNS,risks,1
NNS,topics,1
NNS,voices,2
NNS,spans,1
NNS,pieces,2
NNS,pandemics,1
NNS,laws,1
NNS,ideas,6
NNS,concerns,1
NNS,europeans,1
NNS,advances,1
NNS,organizes,1
NNS,services,2
NNS,pages,1
NNS,institutions,2
NNS,meetings,1
NNS,solutions,1
NNS,headlines,1
NNS,unions,1
NNS,controls,3
NNS,moments,1
NNS,policies,1
NNS,ones,1
NNS,areas,2
NNS,runs,1
NNS,countries,4
NNS,teams,2
NNS,aspects,1
NNS,admins,1
NNS,calls,1
NNS,experiences,2
NNS,refugees,2
NNS,exists,1
NNS,encourages,1
NNS,1960s,1
NNS,connections,3
NNS,devices,1
NNS,discussions,1
NNS,fails,1
NNS,threats,2
NNS,ways,3
NNS,americans,1
NNS,representatives,6
NNS,boundaries,1
NNS,classes,1
NNS,rebuilds,2
NNS,publishers,1
NNS,responses,2
NNS,creates,1
NNS,cities,5
NNS,odds,1
NNS,invites,1
NNS,afterwards,4
NNS,families,4
NNS,lives,4
NNS,homes,1
NNS,elections,2
NNS,reports,1
NNS,politics,1
NNS,movements,2
NNS,things,5
NNS,demands,1
NNS,events,2
NNS,levels,2
NNS,leaps,1
NNS,percentages,1
NNS,sets,1
NNS,opinions,4
NNS,alerts,1
NNS,sources,1
NNS,mistakes,3
NNS,sub-communities,2
NNS,questions,5
NNS,facts,1
NNS,startups,1
NNS,reasons,1
NNS,parents,2
NNS,victims,1
NNS,rules,1
NNS,signals,1
NNS,rituals,1
NNS,donations,1
NNS,tribes,2
NNS,works,3
NNS,towards,4
NNS,people,62
NNS,fathers,1
NNS,exposes,2
NNS,platforms,1
NNS,examples,4
NNS,images,1
NNS,generates,1
NNS,scales,1
NNS,comments,2
NNS,models,1
NNS,steps,2
NNS,numbers,1
NNS,viewpoints,2
NNS,perspectives,7
NNS,lens,1
NNS,newspapers,1
NNS,citizens,3
NNS,efforts,1
NNS,billions,2
NNS,ministers,1
NNS,accounts,1
NNS,raises,1
NNS,parties,1
NNS,cultures,4
NNS,marked,1
NNS,continents,1
NNS,restrictions,1
NNS,hundreds,1
NNS,principles,1
NNS,builds,1
NNS,prevents,2
NNS,stories,3
NNS,strengthens,1
NNS,videos,5
NNS,politicians,1
NNS,problems,4
NNS,friends,15
NNS,accidents,1
NNS,photos,2
NNS,vietnam,1
PRP,us,38
RB,finally,1
RB,dramatically,1
RB,newly,1
RB,even,14
RB,ever,5
RB,alone,4
RB,ahead,3
RB,usually,3
RB,uniquely,2
RB,ago,1
RB,instead,3
RB,personally,1
RB,sexually,2
RB,already,4
RB,actually,2
RB,always,8
RB,extremely,1
RB,seriously,2
RB,completely,2
RB,first,3
RB,similarly,3
RB,accurately,1
RB,alongside,1
RB,relatively,1
RB,also,9
RB,especially,1
RB,sometimes,5
RB,carefully,1
RB,double,1
RB,close,1
RB,still,3
RB,recently,4
RB,however,2
RB,politically,1
RB,simply,1
RB,quickly,5
RB,eventually,2
RB,almost,3
RB,anymore,1
RB,perhaps,1
RB,frequently,1
RB,terribly,1
RB,well,9
RB,directly,2
RB,away,1
RB,increasingly,1
RB,yet,1
RB,early,1
RB,immediately,1
RB,fully,2
RB,often,6
RB,extensively,1
RB,periodically,1
RB,fortunately,1
RB,enough,2
RB,technically,1
RB,rely,1
RB,long,4
RB,forward,5
RB,naturally,1
RB,never,2
RB,historically,2
RB,together,18
RBR,better,5
RBR,less,4
VB,go,1
VB,give,6
VB,keep,5
VB,get,2
VB,allow,2
VB,make,7
VB,emphasize,3
VB,happen,1
VB,organize,1
VB,believe,3
VB,let,2
VB,participate,4
VB,find,6
VB,minimize,1
VB,establish,1
VB,remove,1
VB,succeed,1
VB,come,10
VB,improve,2
VB,reduce,1
VB,deepen,1
VB,develop,2
VB,incentivize,1
VB,see,11
VB,identify,5
VB,save,2
VB,take,7
VB,know,5
VB,run,1
VB,lose,1
VB,ensure,1
VB,recognize,1
VB,expose,1
VBD,helped,2
VBD,added,1
VBD,streamed,1
VBD,got,1
VBD,wrote,1
VBD,declined,1
VBD,reported,3
VBD,became,1
VBD,turned,1
VBD,began,2
VBD,outstripped,1
VBG,existing,6
VBG,marching,1
VBG,promoting,1
VBG,sitting,1
VBG,bringing,4
VBG,uncovering,1
VBG,guiding,2
VBG,giving,4
VBG,increasing,2
VBG,evolving,2
VBG,understanding,8
VBG,governing,1
VBG,settling,1
VBG,messaging,1
VBG,withdrawing,1
VBG,leaving,1
VBG,criticizing,1
VBG,working,1
VBG,sharing,1
VBG,keeping,5
VBG,growing,1
VBG,spanning,1
VBG,staying,1
VBG,coming,2
VBG,improving,5
VBG,lifting,1
VBG,serving,1
VBG,researching,1
VBG,including,3
VBG,hurting,1
VBG,scaling,1
VBG,cutting,1
VBG,suffering,1
VBG,establishing,2
VBG,reducing,1
VBG,looking,2
VBG,banning,1
VBG,creating,1
VBG,receding,1
VBG,striking,2
VBG,leading,1
VBG,speaking,1
VBG,reflecting,3
VBG,mitigating,2
VBG,shifting,1
VBG,disturbing,1
VBG,answering,1
VBG,surfacing,1
VBG,finding,1
VBG,parenting,1
VBG,impacting,1
VBG,accepting,1
VBG,transcending,1
VBG,playing,1
VBG,joining,2
VBG,saying,1
VBG,ending,1
VBG,going,5
VBG,watching,1
VBG,framing,1
VBG,following,1
VBG,worrying,1
VBG,supporting,1
VBG,missing,1
VBG,removing,1
VBG,declining,2
VBG,taking,6
VBG,enabling,2
VBG,compromising,1
VBG,learning,1
VBG,empowering,1
VBG,developing,4
VBG,warning,1
VBG,ongoing,1
VBG,mediating,1
VBG,analyzing,1
VBG,fighting,2
VBG,starting,2
VBG,protecting,1
VBG,preventing,1
VBG,thinking,1
VBG,showing,2
VBG,handling,1
VBG,accelerating,1
VBG,making,2
VBG,organizing,1
VBG,proceeding,1
VBG,connecting,6
VBG,communicating,1
VBG,getting,2
VBG,informing,1
VBG,spreading,1
VBG,depicting,2
VBG,noting,1
VBG,becoming,3
VBG,trying,1
VBG,raising,2
VBG,engaging,1
VBG,strengthening,3
VBG,shooting,1
VBG,dying,1
VBG,setting,1
VBG,misclassifying,1
VBG,helping,4
VBG,happening,2
VBG,using,2
VBN,activated,2
VBN,amplified,1
VBN,selected,1
VBN,hundred,1
VBN,learned,2
VBN,led,1
VBN,diagnosed,2
VBN,named,3
VBN,increased,1
VBN,taken,5
VBN,started,3
VBN,realized,1
VBN,charged,1
VBN,dedicated,3
VBN,discussed,1
VBN,allowed,1
VBN,committed,2
VBN,coordinated,1
VBN,notified,1
VBN,organized,1
VBN,positioned,2
VBN,done,2
VBN,needed,1
VBN,oversimplified,1
VBN,eliminated,1
VBN,polarized,2
VBN,elected,1
VBN,alerted,1
VBN,seen,6
VBN,connected,3
VBN,based,4
VBN,crowdfunded,1
VBN,shared,3
VBN,focused,2
VBN,informed,6
VBN,combined,1
VBN,expected,1
VBN,noticed,1
VBN,studied,1
VBN,engaged,3
VBN,reminded,2
VBN,prevented,1
VBN,attempted,1
VBN,adapted,1
VBN,asked,1
VBN,reduced,1
VBN,piled,1
VBN,raised,1
VBN,balanced,1
VBN,correlated,1
VBN,directed,1
VBN,made,5
VBN,called,1
VBN,compared,2
VBN,shown,2
VBN,suited,2
VBN,aggregated,1
VBN,given,1
VBN,rescued,1
VBN,required,1
VBP,'m,1
VBZ,continues,1
VBZ,goes,1
VBZ,provides,2
VBZ,reflects,1
VBZ,includes,1
VBZ,requires,3
WDT,whatever,2
WP$,whose,1
